Region,Global #,Without DNSSEC (Public) #,Without DNSSEC (Public) %,Without DNSSEC (Private) #,Without DNSSEC (Private) %,With Valid DNSSEC (Public) #,With Valid DNSSEC (Public) %,With Valid DNSSEC (Private) #,With Valid DNSSEC (Private) %,With Invalid DNSSEC (Public) #,With Invalid DNSSEC (Public) %,With Invalid DNSSEC (Private) #,With Invalid DNSSEC (Private) %
District of Columbia,12,1,8.333333333333332,11,91.66666666666666,0,0.0,0,0.0,0,0.0,0,0.0
Iowa,34,3,8.823529411764707,30,88.23529411764706,0,0.0,0,0.0,0,0.0,1,2.941176470588235
Illinois,74,12,16.216216216216218,62,83.78378378378379,0,0.0,0,0.0,0,0.0,0,0.0
Florida,76,13,17.105263157894736,63,82.89473684210526,0,0.0,0,0.0,0,0.0,0,0.0
Massachusetts,74,13,17.56756756756757,56,75.67567567567568,0,0.0,4,5.405405405405405,0,0.0,1,1.3513513513513513
Rhode Island,11,2,18.181818181818183,9,81.81818181818183,0,0.0,0,0.0,0,0.0,0,0.0
Pennsylvania,109,20,18.34862385321101,85,77.98165137614679,1,0.9174311926605505,2,1.834862385321101,0,0.0,1,0.9174311926605505
California,165,31,18.787878787878785,129,78.18181818181819,1,0.6060606060606061,3,1.8181818181818181,0,0.0,1,0.6060606060606061
Arizona,21,4,19.047619047619047,16,76.19047619047619,0,0.0,1,4.761904761904762,0,0.0,0,0.0
Utah,14,3,21.428571428571427,11,78.57142857142857,0,0.0,0,0.0,0,0.0,0,0.0
Missouri,56,12,21.428571428571427,42,75.0,1,1.7857142857142856,1,1.7857142857142856,0,0.0,0,0.0
Ohio,74,16,21.62162162162162,56,75.67567567567568,0,0.0,2,2.7027027027027026,0,0.0,0,0.0
Tennessee,44,10,22.727272727272727,33,75.0,0,0.0,1,2.272727272727273,0,0.0,0,0.0
New York,175,40,22.857142857142858,132,75.42857142857143,0,0.0,3,1.7142857142857144,0,0.0,0,0.0
Kansas,29,7,24.137931034482758,18,62.06896551724138,1,3.4482758620689653,2,6.896551724137931,0,0.0,1,3.4482758620689653
North Carolina,63,16,25.396825396825395,46,73.01587301587301,0,0.0,1,1.5873015873015872,0,0.0,0,0.0
Indiana,53,14,26.41509433962264,36,67.9245283018868,0,0.0,3,5.660377358490567,0,0.0,0,0.0
Washington,30,8,26.666666666666668,21,70.0,0,0.0,0,0.0,0,0.0,1,3.3333333333333335
New Jersey,48,13,27.083333333333332,34,70.83333333333334,0,0.0,1,2.083333333333333,0,0.0,0,0.0
Oregon,29,8,27.586206896551722,18,62.06896551724138,0,0.0,2,6.896551724137931,1,3.4482758620689653,0,0.0
Kentucky,29,8,27.586206896551722,21,72.41379310344827,0,0.0,0,0.0,0,0.0,0,0.0
Virginia,54,15,27.77777777777778,39,72.22222222222221,0,0.0,0,0.0,0,0.0,0,0.0
Minnesota,41,12,29.268292682926827,27,65.85365853658537,0,0.0,2,4.878048780487805,0,0.0,0,0.0
Nevada,10,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0
Vermont,10,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0
Michigan,48,15,31.25,32,66.66666666666666,0,0.0,0,0.0,0,0.0,1,2.083333333333333
Nebraska,21,7,33.33333333333333,13,61.904761904761905,0,0.0,1,4.761904761904762,0,0.0,0,0.0
Georgia,55,19,34.54545454545455,35,63.63636363636363,0,0.0,1,1.8181818181818181,0,0.0,0,0.0
Arkansas,23,8,34.78260869565217,14,60.86956521739131,0,0.0,0,0.0,1,4.3478260869565215,0,0.0
New Hampshire,14,5,35.714285714285715,9,64.28571428571429,0,0.0,0,0.0,0,0.0,0,0.0
South Carolina,36,13,36.11111111111111,22,61.111111111111114,0,0.0,1,2.7777777777777777,0,0.0,0,0.0
Texas,107,39,36.44859813084112,64,59.813084112149525,2,1.8691588785046727,1,0.9345794392523363,0,0.0,1,0.9345794392523363
Hawaii,8,3,37.5,5,62.5,0,0.0,0,0.0,0,0.0,0,0.0
South Dakota,16,6,37.5,9,56.25,1,6.25,0,0.0,0,0.0,0,0.0
Wisconsin,39,15,38.46153846153847,23,58.97435897435898,0,0.0,0,0.0,0,0.0,1,2.564102564102564
Connecticut,28,11,39.285714285714285,17,60.71428571428571,0,0.0,0,0.0,0,0.0,0,0.0
Maryland,33,13,39.39393939393939,19,57.57575757575758,1,3.0303030303030303,0,0.0,0,0.0,0,0.0
Delaware,5,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Maine,17,7,41.17647058823529,10,58.82352941176471,0,0.0,0,0.0,0,0.0,0,0.0
Alabama,32,14,43.75,18,56.25,0,0.0,0,0.0,0,0.0,0,0.0
Mississippi,18,8,44.44444444444444,10,55.55555555555556,0,0.0,0,0.0,0,0.0,0,0.0
West Virginia,21,10,47.61904761904761,11,52.38095238095239,0,0.0,0,0.0,0,0.0,0,0.0
Louisiana,27,13,48.148148148148145,11,40.74074074074074,3,11.11111111111111,0,0.0,0,0.0,0,0.0
Idaho,8,4,50.0,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Colorado,26,13,50.0,11,42.30769230769231,1,3.8461538461538463,1,3.8461538461538463,0,0.0,0,0.0
Oklahoma,26,13,50.0,11,42.30769230769231,1,3.8461538461538463,1,3.8461538461538463,0,0.0,0,0.0
New Mexico,10,6,60.0,3,30.0,1,10.0,0,0.0,0,0.0,0,0.0
Montana,10,6,60.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Alaska,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
North Dakota,9,6,66.66666666666666,3,33.33333333333333,0,0.0,0,0.0,0,0.0,0,0.0
Wyoming,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Total,1978,547,27.654196157735083,1372,69.36299292214359,14,0.7077856420626896,34,1.7189079878665317,2,0.10111223458038424,9,0.455005055611729
