Region,Global #,Invalid #,Invalid %,HTTP Only (Public) #,HTTP Only (Public) %,HTTP Only (Private) #,HTTP Only (Private) %,HTTP and HTTPS (Public) #,HTTP and HTTPS (Public) %,HTTP and HTTPS (Private) #,HTTP and HTTPS (Private) %,HTTP to HTTPS (Same Domain) (Public) #,HTTP to HTTPS (Same Domain) (Public) %,HTTP to HTTPS (Same Domain) (Private) #,HTTP to HTTPS (Same Domain) (Private) %,HTTP to HTTPS (Other Domain) (Public) #,HTTP to HTTPS (Other Domain) (Public) %,HTTP to HTTPS (Other Domain) (Private) #,HTTP to HTTPS (Other Domain) (Private) %,HTTPS Only (Public) #,HTTPS Only (Public) %,HTTPS Only (Private) #,HTTPS Only (Private) %
Alabama,32,0,0.0,0,0.0,1,3.125,0,0.0,1,3.125,14,43.75,16,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Nebraska,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,33.33333333333333,13,61.904761904761905,0,0.0,1,4.761904761904762,0,0.0,0,0.0
Nevada,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0
New Hampshire,14,0,0.0,0,0.0,0,0.0,0,0.0,2,14.285714285714285,5,35.714285714285715,7,50.0,0,0.0,0,0.0,0,0.0,0,0.0
New Jersey,48,0,0.0,0,0.0,0,0.0,0,0.0,2,4.166666666666666,13,27.083333333333332,33,68.75,0,0.0,0,0.0,0,0.0,0,0.0
New Mexico,10,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,5,50.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0
New York,175,1,0.5714285714285714,0,0.0,1,0.5714285714285714,3,1.7142857142857144,19,10.857142857142858,36,20.57142857142857,113,64.57142857142857,0,0.0,1,0.5714285714285714,0,0.0,1,0.5714285714285714
North Carolina,63,0,0.0,0,0.0,0,0.0,1,1.5873015873015872,3,4.761904761904762,14,22.22222222222222,44,69.84126984126983,0,0.0,0,0.0,1,1.5873015873015872,0,0.0
North Dakota,9,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11111111111111,6,66.66666666666666,2,22.22222222222222,0,0.0,0,0.0,0,0.0,0,0.0
Ohio,74,0,0.0,0,0.0,0,0.0,3,4.054054054054054,4,5.405405405405405,13,17.56756756756757,54,72.97297297297297,0,0.0,0,0.0,0,0.0,0,0.0
Oklahoma,26,0,0.0,0,0.0,0,0.0,1,3.8461538461538463,1,3.8461538461538463,13,50.0,11,42.30769230769231,0,0.0,0,0.0,0,0.0,0,0.0
Montana,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,60.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Oregon,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,31.03448275862069,19,65.51724137931035,0,0.0,1,3.4482758620689653,0,0.0,0,0.0
Rhode Island,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,18.181818181818183,9,81.81818181818183,0,0.0,0,0.0,0,0.0,0,0.0
South Carolina,36,0,0.0,0,0.0,0,0.0,1,2.7777777777777777,1,2.7777777777777777,12,33.33333333333333,21,58.333333333333336,0,0.0,0,0.0,0,0.0,1,2.7777777777777777
South Dakota,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,43.75,9,56.25,0,0.0,0,0.0,0,0.0,0,0.0
Tennessee,44,1,2.272727272727273,0,0.0,0,0.0,0,0.0,3,6.8181818181818175,9,20.454545454545457,31,70.45454545454545,0,0.0,0,0.0,0,0.0,0,0.0
Texas,107,1,0.9345794392523363,0,0.0,0,0.0,1,0.9345794392523363,4,3.7383177570093453,39,36.44859813084112,61,57.009345794392516,1,0.9345794392523363,0,0.0,0,0.0,0,0.0
Utah,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,21.428571428571427,11,78.57142857142857,0,0.0,0,0.0,0,0.0,0,0.0
Vermont,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0
Virginia,54,0,0.0,0,0.0,0,0.0,1,1.8518518518518516,1,1.8518518518518516,14,25.925925925925924,37,68.51851851851852,0,0.0,0,0.0,0,0.0,1,1.8518518518518516
Washington,30,0,0.0,0,0.0,0,0.0,2,6.666666666666667,1,3.3333333333333335,6,20.0,19,63.33333333333333,0,0.0,2,6.666666666666667,0,0.0,0,0.0
West Virginia,21,0,0.0,0,0.0,0,0.0,1,4.761904761904762,0,0.0,9,42.857142857142854,11,52.38095238095239,0,0.0,0,0.0,0,0.0,0,0.0
Pennsylvania,109,0,0.0,0,0.0,1,0.9174311926605505,0,0.0,2,1.834862385321101,21,19.26605504587156,85,77.98165137614679,0,0.0,0,0.0,0,0.0,0,0.0
Wisconsin,39,0,0.0,0,0.0,0,0.0,0,0.0,1,2.564102564102564,15,38.46153846153847,23,58.97435897435898,0,0.0,0,0.0,0,0.0,0,0.0
Missouri,56,0,0.0,0,0.0,0,0.0,1,1.7857142857142856,1,1.7857142857142856,12,21.428571428571427,41,73.21428571428571,0,0.0,0,0.0,0,0.0,1,1.7857142857142856
Minnesota,41,0,0.0,0,0.0,0,0.0,0,0.0,2,4.878048780487805,12,29.268292682926827,27,65.85365853658537,0,0.0,0,0.0,0,0.0,0,0.0
Alaska,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Arizona,21,0,0.0,0,0.0,0,0.0,0,0.0,1,4.761904761904762,4,19.047619047619047,16,76.19047619047619,0,0.0,0,0.0,0,0.0,0,0.0
California,165,1,0.6060606060606061,0,0.0,0,0.0,1,0.6060606060606061,7,4.242424242424243,30,18.181818181818183,121,73.33333333333333,0,0.0,4,2.4242424242424243,1,0.6060606060606061,0,0.0
Colorado,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,53.84615384615385,12,46.15384615384615,0,0.0,0,0.0,0,0.0,0,0.0
Connecticut,28,0,0.0,0,0.0,0,0.0,0,0.0,1,3.571428571428571,11,39.285714285714285,16,57.14285714285714,0,0.0,0,0.0,0,0.0,0,0.0
Delaware,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
District of Columbia,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.333333333333332,11,91.66666666666666,0,0.0,0,0.0,0,0.0,0,0.0
Florida,76,0,0.0,0,0.0,0,0.0,0,0.0,3,3.9473684210526314,13,17.105263157894736,59,77.63157894736842,0,0.0,1,1.3157894736842104,0,0.0,0,0.0
Georgia,55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,34.54545454545455,36,65.45454545454545,0,0.0,0,0.0,0,0.0,0,0.0
Mississippi,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,44.44444444444444,10,55.55555555555556,0,0.0,0,0.0,0,0.0,0,0.0
Hawaii,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,37.5,5,62.5,0,0.0,0,0.0,0,0.0,0,0.0
Illinois,74,1,1.3513513513513513,0,0.0,0,0.0,2,2.7027027027027026,2,2.7027027027027026,10,13.513513513513514,58,78.37837837837837,0,0.0,1,1.3513513513513513,0,0.0,0,0.0
Indiana,53,0,0.0,0,0.0,0,0.0,0,0.0,1,1.8867924528301887,14,26.41509433962264,38,71.69811320754717,0,0.0,0,0.0,0,0.0,0,0.0
Iowa,34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,8.823529411764707,30,88.23529411764706,0,0.0,1,2.941176470588235,0,0.0,0,0.0
Kansas,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,27.586206896551722,20,68.96551724137932,0,0.0,1,3.4482758620689653,0,0.0,0,0.0
Kentucky,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,27.586206896551722,21,72.41379310344827,0,0.0,0,0.0,0,0.0,0,0.0
Louisiana,27,1,3.7037037037037033,0,0.0,0,0.0,1,3.7037037037037033,2,7.4074074074074066,14,51.85185185185185,9,33.33333333333333,0,0.0,0,0.0,0,0.0,0,0.0
Maine,17,0,0.0,0,0.0,0,0.0,1,5.88235294117647,0,0.0,5,29.411764705882355,10,58.82352941176471,1,5.88235294117647,0,0.0,0,0.0,0,0.0
Maryland,33,0,0.0,0,0.0,0,0.0,2,6.0606060606060606,0,0.0,11,33.33333333333333,18,54.54545454545454,0,0.0,1,3.0303030303030303,1,3.0303030303030303,0,0.0
Massachusetts,74,0,0.0,0,0.0,1,1.3513513513513513,0,0.0,1,1.3513513513513513,13,17.56756756756757,59,79.72972972972973,0,0.0,0,0.0,0,0.0,0,0.0
Michigan,48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,31.25,33,68.75,0,0.0,0,0.0,0,0.0,0,0.0
Idaho,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,50.0,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0
