Region,Global #,Without SSL (Public) #,Without SSL (Public) %,Without SSL (Private) #,Without SSL (Private) %,256 (ECC) (Public) #,256 (ECC) (Public) %,256 (ECC) (Private) #,256 (ECC) (Private) %,384 (ECC) (Public) #,384 (ECC) (Public) %,384 (ECC) (Private) #,384 (ECC) (Private) %,1024 (RSA) (Public) #,1024 (RSA) (Public) %,1024 (RSA) (Private) #,1024 (RSA) (Private) %,2048 (RSA) (Public) #,2048 (RSA) (Public) %,2048 (RSA) (Private) #,2048 (RSA) (Private) %,3072 (RSA) (Public) #,3072 (RSA) (Public) %,3072 (RSA) (Private) #,3072 (RSA) (Private) %,4096 (RSA) (Public) #,4096 (RSA) (Public) %,4096 (RSA) (Private) #,4096 (RSA) (Private) %
Colorado,26,2,7.6923076923076925,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,42.30769230769231,11,42.30769230769231,0,0.0,0,0.0,1,3.8461538461538463,1,3.8461538461538463
Wisconsin,39,1,2.564102564102564,0,0.0,1,2.564102564102564,1,2.564102564102564,0,0.0,0,0.0,0,0.0,0,0.0,12,30.76923076923077,19,48.717948717948715,0,0.0,1,2.564102564102564,1,2.564102564102564,3,7.6923076923076925
Virginia,54,1,1.8518518518518516,0,0.0,0,0.0,1,1.8518518518518516,0,0.0,0,0.0,0,0.0,0,0.0,11,20.37037037037037,36,66.66666666666666,0,0.0,1,1.8518518518518516,3,5.555555555555555,1,1.8518518518518516
Florida,74,1,1.3513513513513513,1,1.3513513513513513,0,0.0,3,4.054054054054054,0,0.0,0,0.0,0,0.0,0,0.0,12,16.216216216216218,54,72.97297297297297,0,0.0,0,0.0,0,0.0,3,4.054054054054054
Pennsylvania,107,1,0.9345794392523363,0,0.0,0,0.0,1,0.9345794392523363,0,0.0,0,0.0,0,0.0,0,0.0,18,16.822429906542055,79,73.83177570093457,0,0.0,1,0.9345794392523363,2,1.8691588785046727,5,4.672897196261682
California,159,1,0.628930817610063,2,1.257861635220126,0,0.0,3,1.8867924528301887,1,0.628930817610063,0,0.0,0,0.0,0,0.0,28,17.61006289308176,117,73.58490566037736,0,0.0,0,0.0,2,1.257861635220126,5,3.1446540880503147
New York,173,1,0.5780346820809248,3,1.7341040462427744,0,0.0,2,1.1560693641618496,0,0.0,1,0.5780346820809248,0,0.0,0,0.0,37,21.38728323699422,122,70.52023121387283,0,0.0,0,0.0,2,1.1560693641618496,5,2.8901734104046244
Alabama,31,0,0.0,1,3.225806451612903,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,41.935483870967744,14,45.16129032258064,0,0.0,1,3.225806451612903,1,3.225806451612903,1,3.225806451612903
New Hampshire,14,0,0.0,0,0.0,0,0.0,1,7.142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,5,35.714285714285715,7,50.0,0,0.0,0,0.0,0,0.0,1,7.142857142857142
New Jersey,48,0,0.0,0,0.0,0,0.0,2,4.166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,12,25.0,31,64.58333333333334,0,0.0,0,0.0,1,2.083333333333333,2,4.166666666666666
