Region,Global #,Without Security Headers (Public) #,Without Security Headers (Public) %,Without Security Headers (Private) #,Without Security Headers (Private) %,With At Least One Security Header (Public) #,With At Least One Security Header (Public) %,With At Least One Security Header (Private) #,With At Least One Security Header (Private) %,With All Security Headers (Public) #,With All Security Headers (Public) %,With All Security Headers (Private) #,With All Security Headers (Private) %
Oregon,29,0,0.0,4,13.793103448275861,9,31.03448275862069,16,55.172413793103445,0,0.0,0,0.0
Rhode Island,11,0,0.0,0,0.0,2,18.181818181818183,9,81.81818181818183,0,0.0,0,0.0
Nevada,10,0,0.0,1,10.0,3,30.0,6,60.0,0,0.0,0,0.0
New Hampshire,14,0,0.0,4,28.57142857142857,5,35.714285714285715,5,35.714285714285715,0,0.0,0,0.0
New Mexico,10,0,0.0,0,0.0,7,70.0,3,30.0,0,0.0,0,0.0
Utah,14,0,0.0,1,7.142857142857142,3,21.428571428571427,10,71.42857142857143,0,0.0,0,0.0
District of Columbia,12,0,0.0,3,25.0,1,8.333333333333332,8,66.66666666666666,0,0.0,0,0.0
Idaho,8,0,0.0,0,0.0,4,50.0,4,50.0,0,0.0,0,0.0
Arizona,21,0,0.0,2,9.523809523809524,4,19.047619047619047,15,71.42857142857143,0,0.0,0,0.0
Washington,30,0,0.0,4,13.333333333333334,8,26.666666666666668,18,60.0,0,0.0,0,0.0
Delaware,5,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0,0,0.0
Ohio,74,1,1.3513513513513513,10,13.513513513513514,15,20.27027027027027,48,64.86486486486487,0,0.0,0,0.0
Indiana,53,1,1.8867924528301887,3,5.660377358490567,13,24.528301886792452,36,67.9245283018868,0,0.0,0,0.0
Wisconsin,39,1,2.564102564102564,5,12.82051282051282,14,35.8974358974359,19,48.717948717948715,0,0.0,0,0.0
Massachusetts,74,2,2.7027027027027026,12,16.216216216216218,11,14.864864864864865,49,66.21621621621621,0,0.0,0,0.0
Iowa,34,1,2.941176470588235,4,11.76470588235294,2,5.88235294117647,27,79.41176470588235,0,0.0,0,0.0
New York,175,6,3.428571428571429,50,28.57142857142857,34,19.428571428571427,85,48.57142857142857,0,0.0,0,0.0
Connecticut,28,1,3.571428571428571,5,17.857142857142858,10,35.714285714285715,12,42.857142857142854,0,0.0,0,0.0
California,165,6,3.6363636363636362,22,13.333333333333334,26,15.757575757575756,111,67.27272727272727,0,0.0,0,0.0
North Carolina,63,3,4.761904761904762,10,15.873015873015872,13,20.634920634920633,37,58.730158730158735,0,0.0,0,0.0
Nebraska,21,1,4.761904761904762,3,14.285714285714285,6,28.57142857142857,11,52.38095238095239,0,0.0,0,0.0
West Virginia,21,1,4.761904761904762,2,9.523809523809524,9,42.857142857142854,9,42.857142857142854,0,0.0,0,0.0
Minnesota,41,2,4.878048780487805,4,9.75609756097561,10,24.390243902439025,25,60.97560975609756,0,0.0,0,0.0
Florida,76,4,5.263157894736842,13,17.105263157894736,9,11.842105263157894,50,65.78947368421053,0,0.0,0,0.0
New Jersey,48,3,6.25,16,33.33333333333333,10,20.833333333333336,19,39.58333333333333,0,0.0,0,0.0
Alabama,32,2,6.25,6,18.75,12,37.5,12,37.5,0,0.0,0,0.0
