Region,Global #,With no Security Headers #,With no Security Headers %,With 1-3 Security Headers #,With 1-3 Security Headers %,With 4-6 Security Headers #,With 4-6 Security Headers %,With 7-9 Security Headers #,With 7-9 Security Headers %,With 10-11 Security Headers #,With 10-11 Security Headers %
Wyoming,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Maine,7,6,85.71428571428571,1,14.285714285714285,0,0.0,0,0.0,0,0.0
Kentucky,8,6,75.0,2,25.0,0,0.0,0,0.0,0,0.0
Alaska,3,2,66.66666666666666,1,33.33333333333333,0,0.0,0,0.0,0,0.0
Missouri,13,7,53.84615384615385,4,30.76923076923077,2,15.384615384615385,0,0.0,0,0.0
Montana,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0
Tennessee,10,5,50.0,5,50.0,0,0.0,0,0.0,0,0.0
Arkansas,9,4,44.44444444444444,3,33.33333333333333,2,22.22222222222222,0,0.0,0,0.0
Georgia,19,8,42.10526315789473,8,42.10526315789473,3,15.789473684210526,0,0.0,0,0.0
Illinois,12,5,41.66666666666667,5,41.66666666666667,2,16.666666666666664,0,0.0,0,0.0
Louisiana,16,6,37.5,9,56.25,0,0.0,1,6.25,0,0.0
Maryland,14,5,35.714285714285715,8,57.14285714285714,1,7.142857142857142,0,0.0,0,0.0
Colorado,14,5,35.714285714285715,8,57.14285714285714,1,7.142857142857142,0,0.0,0,0.0
Iowa,3,1,33.33333333333333,1,33.33333333333333,1,33.33333333333333,0,0.0,0,0.0
Vermont,3,1,33.33333333333333,2,66.66666666666666,0,0.0,0,0.0,0,0.0
North Dakota,6,2,33.33333333333333,3,50.0,1,16.666666666666664,0,0.0,0,0.0
Hawaii,3,1,33.33333333333333,2,66.66666666666666,0,0.0,0,0.0,0,0.0
Pennsylvania,21,7,33.33333333333333,12,57.14285714285714,2,9.523809523809524,0,0.0,0,0.0
Florida,13,4,30.76923076923077,9,69.23076923076923,0,0.0,0,0.0,0,0.0
Virginia,15,4,26.666666666666668,11,73.33333333333333,0,0.0,0,0.0,0,0.0
Kansas,8,2,25.0,5,62.5,1,12.5,0,0.0,0,0.0
Mississippi,8,2,25.0,5,62.5,0,0.0,1,12.5,0,0.0
Texas,41,10,24.390243902439025,25,60.97560975609756,6,14.634146341463413,0,0.0,0,0.0
New Jersey,13,3,23.076923076923077,5,38.46153846153847,5,38.46153846153847,0,0.0,0,0.0
South Carolina,13,3,23.076923076923077,10,76.92307692307693,0,0.0,0,0.0,0,0.0
Oklahoma,14,3,21.428571428571427,10,71.42857142857143,1,7.142857142857142,0,0.0,0,0.0
Michigan,15,3,20.0,7,46.666666666666664,5,33.33333333333333,0,0.0,0,0.0
California,32,6,18.75,19,59.375,7,21.875,0,0.0,0,0.0
North Carolina,16,3,18.75,11,68.75,2,12.5,0,0.0,0,0.0
Minnesota,12,2,16.666666666666664,7,58.333333333333336,3,25.0,0,0.0,0,0.0
Massachusetts,13,2,15.384615384615385,6,46.15384615384615,5,38.46153846153847,0,0.0,0,0.0
New York,40,6,15.0,24,60.0,10,25.0,0,0.0,0,0.0
South Dakota,7,1,14.285714285714285,6,85.71428571428571,0,0.0,0,0.0,0,0.0
Alabama,14,2,14.285714285714285,10,71.42857142857143,2,14.285714285714285,0,0.0,0,0.0
Nebraska,7,1,14.285714285714285,5,71.42857142857143,1,14.285714285714285,0,0.0,0,0.0
West Virginia,10,1,10.0,6,60.0,3,30.0,0,0.0,0,0.0
Connecticut,11,1,9.090909090909092,10,90.9090909090909,0,0.0,0,0.0,0,0.0
Indiana,14,1,7.142857142857142,11,78.57142857142857,2,14.285714285714285,0,0.0,0,0.0
Wisconsin,15,1,6.666666666666667,11,73.33333333333333,3,20.0,0,0.0,0,0.0
Ohio,16,1,6.25,9,56.25,6,37.5,0,0.0,0,0.0
Utah,3,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0
Washington,8,0,0.0,7,87.5,1,12.5,0,0.0,0,0.0
Delaware,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
District of Columbia,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
New Mexico,7,0,0.0,6,85.71428571428571,1,14.285714285714285,0,0.0,0,0.0
Idaho,4,0,0.0,3,75.0,1,25.0,0,0.0,0,0.0
Arizona,4,0,0.0,1,25.0,3,75.0,0,0.0,0,0.0
Rhode Island,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Oregon,9,0,0.0,4,44.44444444444444,5,55.55555555555556,0,0.0,0,0.0
New Hampshire,5,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0
Nevada,3,0,0.0,2,66.66666666666666,1,33.33333333333333,0,0.0,0,0.0
Total,563,137,24.33392539964476,332,58.96980461811723,92,16.341030195381883,2,0.3552397868561279,0,0.0
