Region,Quartile,With no Security Headers (pub),With 1-3 Security Headers (pub),With 4-6 Security Headers (pub),With 7-9 Security Headers (pub),With 10-11 Security Headers (pub),With no Security Headers (pvt),With 1-3 Security Headers (pvt),With 4-6 Security Headers (pvt),With 7-9 Security Headers (pvt),With 10-11 Security Headers (pvt)
New York,1,15.0,60.0,25.0,0.0,0.0,37.03703703703704,45.925925925925924,16.296296296296298,0.0,0.7407407407407408
Arkansas,1,44.44444444444444,33.33333333333333,22.22222222222222,0.0,0.0,21.428571428571427,64.28571428571429,0.0,14.285714285714285,0.0
Mississippi,1,25.0,62.5,0.0,12.5,0.0,20.0,60.0,20.0,0.0,0.0
South Dakota,1,14.285714285714285,85.71428571428571,0.0,0.0,0.0,11.11111111111111,66.66666666666666,11.11111111111111,11.11111111111111,0.0
Louisiana,1,37.5,56.25,0.0,6.25,0.0,54.54545454545454,36.36363636363637,9.090909090909092,0.0,0.0
Oregon,1,0.0,44.44444444444444,55.55555555555556,0.0,0.0,20.0,65.0,10.0,5.0,0.0
Minnesota,1,16.666666666666664,58.333333333333336,25.0,0.0,0.0,13.793103448275861,58.620689655172406,24.137931034482758,3.4482758620689653,0.0
Michigan,1,20.0,46.666666666666664,33.33333333333333,0.0,0.0,21.21212121212121,69.6969696969697,6.0606060606060606,3.0303030303030303,0.0
Indiana,1,7.142857142857142,78.57142857142857,14.285714285714285,0.0,0.0,7.6923076923076925,71.7948717948718,17.94871794871795,2.564102564102564,0.0
Pennsylvania,1,33.33333333333333,57.14285714285714,9.523809523809524,0.0,0.0,23.863636363636363,55.68181818181818,18.181818181818183,2.272727272727273,0.0
North Carolina,1,18.75,68.75,12.5,0.0,0.0,21.27659574468085,61.702127659574465,14.893617021276595,2.127659574468085,0.0
Ohio,1,6.25,56.25,37.5,0.0,0.0,17.24137931034483,53.44827586206896,27.586206896551722,1.7241379310344827,0.0
Massachusetts,1,15.384615384615385,46.15384615384615,38.46153846153847,0.0,0.0,19.672131147540984,55.73770491803278,22.950819672131146,1.639344262295082,0.0
Illinois,2,41.66666666666667,41.66666666666667,16.666666666666664,0.0,0.0,25.806451612903224,53.2258064516129,19.35483870967742,1.6129032258064515,0.0
California,2,18.75,59.375,21.875,0.0,0.0,16.541353383458645,57.14285714285714,25.563909774436087,0.7518796992481203,0.0
Arizona,2,0.0,25.0,75.0,0.0,0.0,11.76470588235294,76.47058823529412,11.76470588235294,0.0,0.0
New Hampshire,2,0.0,60.0,40.0,0.0,0.0,44.44444444444444,33.33333333333333,22.22222222222222,0.0,0.0
Iowa,2,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,12.903225806451612,64.51612903225806,22.58064516129032,0.0,0.0
Rhode Island,2,0.0,100.0,0.0,0.0,0.0,0.0,44.44444444444444,55.55555555555556,0.0,0.0
Delaware,2,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Nebraska,2,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0,21.428571428571427,42.857142857142854,35.714285714285715,0.0,0.0
